timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
356,408,252,180,408,16,108,148,20,84,8,150,32
359,408,252,180,408,16,108,148,20,84,8,150,32
362,408,252,180,408,16,108,148,20,84,8,150,32
365,408,252,180,408,16,108,148,20,84,8,150,32
368,408,252,180,408,16,104,152,20,84,8,150,32
370,408,252,180,408,16,60,196,20,84,8,150,32
373,400,236,204,408,16,44,208,20,84,8,150,32
376,396,204,220,408,16,40,208,20,84,8,150,32
379,392,168,244,408,16,36,212,20,84,8,150,32
382,404,168,244,408,16,28,212,20,84,8,150,32
385,384,180,244,408,12,20,224,20,82,10,150,32
387,368,188,252,408,12,12,232,20,60,30,152,32
390,336,212,256,408,8,16,232,20,56,34,152,32
393,308,224,256,408,8,16,232,20,44,46,152,32
396,264,252,264,408,8,12,236,20,38,52,152,32
399,240,272,268,408,4,12,240,20,38,48,156,32
402,220,288,272,408,0,16,240,20,38,48,156,32
404,192,316,272,408,0,16,240,20,34,52,156,32
407,192,316,272,408,0,16,240,20,34,50,158,32
410,192,304,272,408,0,16,240,20,34,50,158,32
413,180,316,272,408,0,16,240,20,32,52,158,32
416,180,316,272,408,0,16,240,20,32,52,158,32
419,180,316,272,408,0,16,240,20,32,52,158,32
422,180,316,272,408,0,16,240,20,32,52,158,32
424,180,316,272,408,0,16,240,20,32,52,158,32
427,180,316,272,408,0,16,240,20,32,52,158,32
430,180,304,284,408,0,16,240,20,32,52,158,32
433,172,304,292,408,0,16,240,20,32,52,158,32
436,160,312,296,408,0,16,240,20,32,52,158,32
439,160,304,304,408,0,16,240,20,32,48,162,32
442,160,296,312,408,0,16,240,20,32,44,166,32
445,160,296,312,416,0,16,240,20,32,32,178,32
448,152,304,320,416,0,16,240,20,30,18,194,32
450,140,292,344,416,0,16,240,20,28,14,200,32
453,136,288,352,416,0,16,240,20,28,12,202,32
456,156,316,352,444,0,16,240,20,24,16,202,32
459,148,320,356,444,0,16,240,20,22,16,204,32
462,132,336,356,444,0,16,240,20,22,16,204,32
